Default Dataset,,Dataset 1,
X,Y,X,Y
1.2873821798470688,681.1163233303713,1.2057263027741196,43.09102152424127
1.3012680603531175,360.14650706879854,1.2179004142000667,42.26692624382282
1.3145980786762361,196.34287898224392,1.2300811585331328,38.30960487707698
1.327374377350709,107.58394569818809,1.2422561543466957,37.1832459912079
1.3412624660182175,55.40950686047135,1.2544366038838901,33.82042464461119
1.3628838982966864,33.23191033813028,1.266610715309837,33.17362511780738
1.3750668044661474,29.354914239070723,1.2787913122449672,30.120509521325385
1.3872472540033418,26.700080600985352,1.2909694918539474,28.147164015410564
1.3994264260917575,24.657643986509306,1.3031460206060446,26.82536080956065
1.4116070230268878,22.38829183821781,1.3153227851948393,25.493924807481203
1.4215731554854445,20.64115017429087,1.3225178311926273,24.831392652097737
1.4437198006517398,17.296245942613993,1.3504239827567812,10.830647187930593
1.455900544984806,15.676852016536879,1.382390193000277,6.200533727915981
1.4680815841137442,14.159278230473836,1.432348461559291,3.037080946191882
1.476386536569515,13.257207618841525,1.485239931938915,1.701076269226119
1.4979794129545188,11.171731951942386,1.542166099623508,1.5701251200210642
1.510160452083457,10.090269453138003,,
1.5223413438144595,9.12950846711041,,
1.532307202533992,8.44454333917562,,
1.553899923624742,7.129315502569262,,
